latitude,longitude,start TW,end TW,demand,service time,type,index,ID,customer type
26,15,,,,0.0,depot,1,depot_0,
-39,2,,,,0.0,depot,2,depot_1,
27,-14,,,,0.0,depot,3,depot_2,
14,15,,,,10.0,sat,4,sat_0_0,
-8,19,,,,10.0,sat,5,sat_1_0,
-23,2,,,,10.0,sat,6,sat_2_0,
6,-21,,,,10.0,sat,7,sat_3_0,
23,-8,,,,10.0,sat,8,sat_4_0,
1,0,195.0,215.0,10.0,10.0,cust,9,cust_0,delivery
20,17,45.0,65.0,10.0,10.0,cust,10,cust_1,pickup
0,3,167.0,187.0,20.0,10.0,cust,11,cust_2,delivery
3,-5,142.0,162.0,20.0,10.0,cust,12,cust_3,pickup
-14,19,147.0,167.0,10.0,10.0,cust,13,cust_4,delivery
-15,-25,183.0,203.0,10.0,10.0,cust,14,cust_5,pickup
8,-1,176.0,196.0,10.0,10.0,cust,15,cust_6,delivery
3,-6,181.0,201.0,10.0,10.0,cust,16,cust_7,pickup
0,-11,255.0,275.0,10.0,10.0,cust,17,cust_8,delivery
-4,-1,67.0,87.0,20.0,10.0,cust,18,cust_9,pickup
-15,-15,82.0,102.0,20.0,10.0,cust,19,cust_10,delivery
27,6,208.0,228.0,20.0,10.0,cust,20,cust_11,pickup
3,8,239.0,259.0,10.0,10.0,cust,21,cust_12,delivery
-18,15,33.0,53.0,10.0,10.0,cust,22,cust_13,pickup
-16,-15,44.0,64.0,10.0,10.0,cust,23,cust_14,delivery
6,20,22.0,42.0,20.0,10.0,cust,24,cust_15,pickup
0,0,213.0,233.0,10.0,10.0,cust,25,cust_16,delivery
21,8,121.0,141.0,20.0,10.0,cust,26,cust_17,pickup
-3,24,251.0,271.0,10.0,10.0,cust,27,cust_18,delivery
11,-26,80.0,100.0,10.0,10.0,cust,28,cust_19,pickup
7,10,194.0,214.0,10.0,10.0,cust,29,cust_20,delivery
-6,-21,59.0,79.0,10.0,10.0,cust,30,cust_21,pickup
2,-1,187.0,207.0,20.0,10.0,cust,31,cust_22,delivery
-1,23,39.0,59.0,10.0,10.0,cust,32,cust_23,pickup
4,2,90.0,110.0,20.0,10.0,cust,33,cust_24,delivery
22,2,211.0,231.0,20.0,10.0,cust,34,cust_25,pickup
18,-2,55.0,75.0,10.0,10.0,cust,35,cust_26,delivery
6,3,184.0,204.0,20.0,10.0,cust,36,cust_27,pickup
0,5,157.0,177.0,20.0,10.0,cust,37,cust_28,delivery
-14,10,119.0,139.0,20.0,10.0,cust,38,cust_29,pickup
-2,1,44.0,64.0,20.0,10.0,cust,39,cust_30,delivery
24,13,209.0,229.0,10.0,10.0,cust,40,cust_31,pickup
0,4,33.0,53.0,10.0,10.0,cust,41,cust_32,delivery
2,3,167.0,187.0,20.0,10.0,cust,42,cust_33,pickup
1,-28,73.0,93.0,10.0,10.0,cust,43,cust_34,delivery
-4,-4,168.0,188.0,10.0,10.0,cust,44,cust_35,pickup
-3,24,155.0,175.0,10.0,10.0,cust,45,cust_36,delivery
1,-30,131.0,151.0,20.0,10.0,cust,46,cust_37,pickup
1,2,258.0,278.0,10.0,10.0,cust,47,cust_38,delivery
-3,-27,213.0,233.0,20.0,10.0,cust,48,cust_39,pickup
-9,11,72.0,92.0,20.0,10.0,cust,49,cust_40,delivery
7,-22,119.0,139.0,10.0,10.0,cust,50,cust_41,pickup
3,-6,174.0,194.0,10.0,10.0,cust,51,cust_42,delivery
-4,17,105.0,125.0,10.0,10.0,cust,52,cust_43,pickup
-11,-12,101.0,121.0,10.0,10.0,cust,53,cust_44,delivery
-17,4,79.0,99.0,10.0,10.0,cust,54,cust_45,pickup
5,3,39.0,59.0,10.0,10.0,cust,55,cust_46,delivery
0,0,155.0,175.0,20.0,10.0,cust,56,cust_47,pickup
-22,10,121.0,141.0,10.0,10.0,cust,57,cust_48,delivery
-13,-4,22.0,42.0,20.0,10.0,cust,58,cust_49,pickup
-15,-9,225.0,245.0,10.0,10.0,cust,59,cust_50,delivery
2,-18,251.0,271.0,20.0,10.0,cust,60,cust_51,pickup
-28,-1,30.0,50.0,10.0,10.0,cust,61,cust_52,delivery
-7,-22,250.0,270.0,10.0,10.0,cust,62,cust_53,pickup
-1,0,37.0,57.0,20.0,10.0,cust,63,cust_54,delivery
-25,-5,83.0,103.0,10.0,10.0,cust,64,cust_55,pickup
4,27,217.0,237.0,20.0,10.0,cust,65,cust_56,delivery
-21,-11,137.0,157.0,20.0,10.0,cust,66,cust_57,pickup
-12,-20,101.0,121.0,20.0,10.0,cust,67,cust_58,delivery
4,-23,87.0,107.0,20.0,10.0,cust,68,cust_59,pickup
-1,-15,101.0,121.0,10.0,10.0,cust,69,cust_60,delivery
25,13,36.0,56.0,20.0,10.0,cust,70,cust_61,pickup
19,-23,188.0,208.0,10.0,10.0,cust,71,cust_62,delivery
-11,-5,230.0,250.0,10.0,10.0,cust,72,cust_63,pickup
6,19,41.0,61.0,10.0,10.0,cust,73,cust_64,delivery
-10,1,66.0,86.0,10.0,10.0,cust,74,cust_65,pickup
5,-4,159.0,179.0,20.0,10.0,cust,75,cust_66,delivery
3,-1,237.0,257.0,10.0,10.0,cust,76,cust_67,pickup
0,0,117.0,137.0,20.0,10.0,cust,77,cust_68,delivery
-4,-7,92.0,112.0,20.0,10.0,cust,78,cust_69,pickup
18,-23,191.0,211.0,10.0,10.0,cust,79,cust_70,delivery
1,3,51.0,71.0,20.0,10.0,cust,80,cust_71,pickup
-5,-1,119.0,139.0,20.0,10.0,cust,81,cust_72,delivery
-5,16,195.0,215.0,10.0,10.0,cust,82,cust_73,pickup
-6,27,40.0,60.0,20.0,10.0,cust,83,cust_74,delivery
22,-16,67.0,87.0,20.0,10.0,cust,84,cust_75,pickup
-1,10,246.0,266.0,20.0,10.0,cust,85,cust_76,delivery
29,-2,175.0,195.0,10.0,10.0,cust,86,cust_77,pickup
-11,13,228.0,248.0,20.0,10.0,cust,87,cust_78,delivery
1,22,147.0,167.0,10.0,10.0,cust,88,cust_79,pickup
17,7,139.0,159.0,20.0,10.0,cust,89,cust_80,delivery
-22,-4,256.0,276.0,10.0,10.0,cust,90,cust_81,pickup
14,8,108.0,128.0,10.0,10.0,cust,91,cust_82,delivery
15,24,90.0,110.0,10.0,10.0,cust,92,cust_83,pickup
3,-15,58.0,78.0,10.0,10.0,cust,93,cust_84,delivery
0,0,109.0,129.0,10.0,10.0,cust,94,cust_85,pickup
-2,1,247.0,267.0,10.0,10.0,cust,95,cust_86,delivery
-14,0,99.0,119.0,20.0,10.0,cust,96,cust_87,pickup
-7,7,153.0,173.0,20.0,10.0,cust,97,cust_88,delivery
3,3,41.0,61.0,20.0,10.0,cust,98,cust_89,pickup
-4,-12,252.0,272.0,20.0,10.0,cust,99,cust_90,delivery
1,9,40.0,60.0,20.0,10.0,cust,100,cust_91,pickup
14,14,207.0,227.0,20.0,10.0,cust,101,cust_92,delivery
2,9,259.0,279.0,20.0,10.0,cust,102,cust_93,pickup
-8,5,196.0,216.0,10.0,10.0,cust,103,cust_94,delivery
-11,-24,155.0,175.0,10.0,10.0,cust,104,cust_95,pickup
0,-24,98.0,118.0,20.0,10.0,cust,105,cust_96,delivery
-25,-3,131.0,151.0,10.0,10.0,cust,106,cust_97,pickup
3,-13,124.0,144.0,20.0,10.0,cust,107,cust_98,delivery
-13,-9,77.0,97.0,10.0,10.0,cust,108,cust_99,pickup
