latitude,longitude,start TW,end TW,demand,service time,type,index,ID,customer type
34,14,,,,0.0,depot,1,depot_0,
9,32,,,,0.0,depot,2,depot_1,
-18,27,,,,0.0,depot,3,depot_2,
-38,-9,,,,0.0,depot,4,depot_3,
11,-38,,,,0.0,depot,5,depot_4,
31,-18,,,,0.0,depot,6,depot_5,
7,20,,,,10.0,sat,7,sat_0_0,
-14,16,,,,10.0,sat,8,sat_1_0,
-7,-23,,,,10.0,sat,9,sat_2_0,
21,-4,,,,10.0,sat,10,sat_3_0,
-1,5,127.0,147.0,21.0,10.0,cust,11,cust_0,delivery
-6,-3,234.0,254.0,21.0,10.0,cust,12,cust_1,pickup
-7,7,107.0,127.0,7.0,10.0,cust,13,cust_2,delivery
-3,13,109.0,129.0,20.0,10.0,cust,14,cust_3,pickup
5,-7,232.0,252.0,16.0,10.0,cust,15,cust_4,delivery
3,5,175.0,195.0,15.0,10.0,cust,16,cust_5,pickup
15,19,38.0,58.0,8.0,10.0,cust,17,cust_6,delivery
-3,-1,104.0,124.0,24.0,10.0,cust,18,cust_7,pickup
-6,25,97.0,117.0,20.0,10.0,cust,19,cust_8,delivery
-2,-21,139.0,159.0,11.0,10.0,cust,20,cust_9,pickup
-5,-10,156.0,176.0,7.0,10.0,cust,21,cust_10,delivery
-22,-2,241.0,261.0,24.0,10.0,cust,22,cust_11,pickup
-8,-18,41.0,61.0,13.0,10.0,cust,23,cust_12,delivery
-22,19,203.0,223.0,10.0,10.0,cust,24,cust_13,pickup
1,2,46.0,66.0,24.0,10.0,cust,25,cust_14,delivery
-2,-18,143.0,163.0,6.0,10.0,cust,26,cust_15,pickup
-17,-10,33.0,53.0,8.0,10.0,cust,27,cust_16,delivery
-5,-7,123.0,143.0,22.0,10.0,cust,28,cust_17,pickup
-1,3,78.0,98.0,19.0,10.0,cust,29,cust_18,delivery
3,-20,125.0,145.0,13.0,10.0,cust,30,cust_19,pickup
-1,10,90.0,110.0,11.0,10.0,cust,31,cust_20,delivery
-4,-13,181.0,201.0,22.0,10.0,cust,32,cust_21,pickup
-2,-17,162.0,182.0,19.0,10.0,cust,33,cust_22,delivery
-4,2,105.0,125.0,7.0,10.0,cust,34,cust_23,pickup
3,-3,152.0,172.0,16.0,10.0,cust,35,cust_24,delivery
-7,0,192.0,212.0,19.0,10.0,cust,36,cust_25,pickup
20,-4,143.0,163.0,20.0,10.0,cust,37,cust_26,delivery
25,-16,27.0,47.0,8.0,10.0,cust,38,cust_27,pickup
-19,-22,151.0,171.0,6.0,10.0,cust,39,cust_28,delivery
25,0,33.0,53.0,12.0,10.0,cust,40,cust_29,pickup
-2,-10,142.0,162.0,8.0,10.0,cust,41,cust_30,delivery
7,-1,125.0,145.0,22.0,10.0,cust,42,cust_31,pickup
15,7,33.0,53.0,9.0,10.0,cust,43,cust_32,delivery
-5,5,233.0,253.0,19.0,10.0,cust,44,cust_33,pickup
11,6,143.0,163.0,9.0,10.0,cust,45,cust_34,delivery
2,13,52.0,72.0,20.0,10.0,cust,46,cust_35,pickup
21,15,219.0,239.0,7.0,10.0,cust,47,cust_36,delivery
14,16,253.0,273.0,19.0,10.0,cust,48,cust_37,pickup
-9,-10,247.0,267.0,15.0,10.0,cust,49,cust_38,delivery
4,5,256.0,276.0,10.0,10.0,cust,50,cust_39,pickup
-8,19,100.0,120.0,7.0,10.0,cust,51,cust_40,delivery
-5,6,186.0,206.0,21.0,10.0,cust,52,cust_41,pickup
-1,-23,161.0,181.0,8.0,10.0,cust,53,cust_42,delivery
-16,5,63.0,83.0,20.0,10.0,cust,54,cust_43,pickup
20,19,81.0,101.0,16.0,10.0,cust,55,cust_44,delivery
1,-1,147.0,167.0,8.0,10.0,cust,56,cust_45,pickup
-2,-5,90.0,110.0,15.0,10.0,cust,57,cust_46,delivery
6,9,156.0,176.0,9.0,10.0,cust,58,cust_47,pickup
1,-1,230.0,250.0,17.0,10.0,cust,59,cust_48,delivery
-23,-1,205.0,225.0,11.0,10.0,cust,60,cust_49,pickup
