latitude,longitude,start TW,end TW,demand,service time,type,index,ID,customer type
29,13,,,,0.0,depot,1,depot_0,
-23,21,,,,0.0,depot,2,depot_1,
9,-34,,,,0.0,depot,3,depot_2,
20,14,,,,10.0,sat,4,sat_0_0,
5,22,,,,10.0,sat,5,sat_1_0,
-21,-12,,,,10.0,sat,6,sat_2_0,
-14,-19,,,,10.0,sat,7,sat_3_0,
21,-10,,,,10.0,sat,8,sat_4_0,
-4,0,212.0,232.0,10.0,10.0,cust,9,cust_0,delivery
2,1,93.0,113.0,20.0,10.0,cust,10,cust_1,pickup
2,8,350.0,370.0,10.0,10.0,cust,11,cust_2,delivery
-15,0,291.0,311.0,10.0,10.0,cust,12,cust_3,pickup
-4,-2,129.0,149.0,20.0,10.0,cust,13,cust_4,delivery
-3,12,288.0,308.0,10.0,10.0,cust,14,cust_5,pickup
-18,14,313.0,333.0,20.0,10.0,cust,15,cust_6,delivery
-15,7,171.0,191.0,20.0,10.0,cust,16,cust_7,pickup
6,18,133.0,153.0,20.0,10.0,cust,17,cust_8,delivery
-6,8,147.0,167.0,20.0,10.0,cust,18,cust_9,pickup
-7,-20,289.0,309.0,10.0,10.0,cust,19,cust_10,delivery
-3,5,331.0,351.0,20.0,10.0,cust,20,cust_11,pickup
0,-3,323.0,343.0,10.0,10.0,cust,21,cust_12,delivery
-15,2,109.0,129.0,10.0,10.0,cust,22,cust_13,pickup
12,-7,122.0,142.0,20.0,10.0,cust,23,cust_14,delivery
-16,16,286.0,306.0,10.0,10.0,cust,24,cust_15,pickup
-5,-3,94.0,114.0,10.0,10.0,cust,25,cust_16,delivery
13,18,182.0,202.0,10.0,10.0,cust,26,cust_17,pickup
-17,-15,320.0,340.0,20.0,10.0,cust,27,cust_18,delivery
2,17,242.0,262.0,20.0,10.0,cust,28,cust_19,pickup
-6,-3,292.0,312.0,10.0,10.0,cust,29,cust_20,delivery
-14,-5,74.0,94.0,10.0,10.0,cust,30,cust_21,pickup
-10,-2,276.0,296.0,10.0,10.0,cust,31,cust_22,delivery
-14,4,227.0,247.0,10.0,10.0,cust,32,cust_23,pickup
-21,9,61.0,81.0,20.0,10.0,cust,33,cust_24,delivery
22,0,175.0,195.0,10.0,10.0,cust,34,cust_25,pickup
20,1,191.0,211.0,20.0,10.0,cust,35,cust_26,delivery
21,-3,68.0,88.0,10.0,10.0,cust,36,cust_27,pickup
-1,18,83.0,103.0,10.0,10.0,cust,37,cust_28,delivery
-11,10,72.0,92.0,10.0,10.0,cust,38,cust_29,pickup
-21,4,85.0,105.0,20.0,10.0,cust,39,cust_30,delivery
-9,-1,201.0,221.0,20.0,10.0,cust,40,cust_31,pickup
6,-5,214.0,234.0,20.0,10.0,cust,41,cust_32,delivery
-14,-10,315.0,335.0,20.0,10.0,cust,42,cust_33,pickup
6,-12,101.0,121.0,20.0,10.0,cust,43,cust_34,delivery
1,0,340.0,360.0,10.0,10.0,cust,44,cust_35,pickup
-15,10,209.0,229.0,20.0,10.0,cust,45,cust_36,delivery
11,-2,228.0,248.0,20.0,10.0,cust,46,cust_37,pickup
14,-12,311.0,331.0,20.0,10.0,cust,47,cust_38,delivery
29,6,176.0,196.0,20.0,10.0,cust,48,cust_39,pickup
-21,-1,250.0,270.0,20.0,10.0,cust,49,cust_40,delivery
0,-11,157.0,177.0,10.0,10.0,cust,50,cust_41,pickup
11,-10,306.0,326.0,20.0,10.0,cust,51,cust_42,delivery
-4,8,331.0,351.0,20.0,10.0,cust,52,cust_43,pickup
13,1,354.0,374.0,10.0,10.0,cust,53,cust_44,delivery
-27,3,66.0,86.0,10.0,10.0,cust,54,cust_45,pickup
6,-15,81.0,101.0,20.0,10.0,cust,55,cust_46,delivery
15,16,246.0,266.0,10.0,10.0,cust,56,cust_47,pickup
1,7,191.0,211.0,10.0,10.0,cust,57,cust_48,delivery
-29,7,177.0,197.0,10.0,10.0,cust,58,cust_49,pickup
25,-14,125.0,145.0,10.0,10.0,cust,59,cust_50,delivery
-7,-13,216.0,236.0,10.0,10.0,cust,60,cust_51,pickup
-17,5,180.0,200.0,20.0,10.0,cust,61,cust_52,delivery
7,20,355.0,375.0,10.0,10.0,cust,62,cust_53,pickup
10,14,87.0,107.0,10.0,10.0,cust,63,cust_54,delivery
-25,-14,77.0,97.0,10.0,10.0,cust,64,cust_55,pickup
0,0,292.0,312.0,10.0,10.0,cust,65,cust_56,delivery
3,-6,332.0,352.0,10.0,10.0,cust,66,cust_57,pickup
-12,-3,251.0,271.0,10.0,10.0,cust,67,cust_58,delivery
-2,2,221.0,241.0,20.0,10.0,cust,68,cust_59,pickup
-15,-2,134.0,154.0,20.0,10.0,cust,69,cust_60,delivery
-5,-2,177.0,197.0,20.0,10.0,cust,70,cust_61,pickup
-3,-13,94.0,114.0,10.0,10.0,cust,71,cust_62,delivery
3,-14,171.0,191.0,20.0,10.0,cust,72,cust_63,pickup
-5,-9,342.0,362.0,10.0,10.0,cust,73,cust_64,delivery
15,11,113.0,133.0,20.0,10.0,cust,74,cust_65,pickup
0,4,248.0,268.0,20.0,10.0,cust,75,cust_66,delivery
-17,17,87.0,107.0,20.0,10.0,cust,76,cust_67,pickup
-14,17,153.0,173.0,20.0,10.0,cust,77,cust_68,delivery
12,11,272.0,292.0,20.0,10.0,cust,78,cust_69,pickup
3,11,347.0,367.0,20.0,10.0,cust,79,cust_70,delivery
4,-14,122.0,142.0,20.0,10.0,cust,80,cust_71,pickup
2,16,177.0,197.0,20.0,10.0,cust,81,cust_72,delivery
-9,-16,101.0,121.0,20.0,10.0,cust,82,cust_73,pickup
-27,7,269.0,289.0,20.0,10.0,cust,83,cust_74,delivery
-8,17,322.0,342.0,20.0,10.0,cust,84,cust_75,pickup
-27,-6,169.0,189.0,20.0,10.0,cust,85,cust_76,delivery
-20,-17,103.0,123.0,10.0,10.0,cust,86,cust_77,pickup
1,8,277.0,297.0,10.0,10.0,cust,87,cust_78,delivery
-2,12,166.0,186.0,10.0,10.0,cust,88,cust_79,pickup
-2,-1,182.0,202.0,10.0,10.0,cust,89,cust_80,delivery
11,6,228.0,248.0,20.0,10.0,cust,90,cust_81,pickup
-5,2,350.0,370.0,10.0,10.0,cust,91,cust_82,delivery
-28,6,157.0,177.0,20.0,10.0,cust,92,cust_83,pickup
24,-1,322.0,342.0,20.0,10.0,cust,93,cust_84,delivery
1,-1,307.0,327.0,10.0,10.0,cust,94,cust_85,pickup
1,15,207.0,227.0,20.0,10.0,cust,95,cust_86,delivery
0,0,344.0,364.0,10.0,10.0,cust,96,cust_87,pickup
-12,-1,297.0,317.0,10.0,10.0,cust,97,cust_88,delivery
3,0,127.0,147.0,20.0,10.0,cust,98,cust_89,pickup
-16,18,326.0,346.0,10.0,10.0,cust,99,cust_90,delivery
-4,-15,304.0,324.0,20.0,10.0,cust,100,cust_91,pickup
4,2,256.0,276.0,10.0,10.0,cust,101,cust_92,delivery
24,-10,352.0,372.0,20.0,10.0,cust,102,cust_93,pickup
-1,-2,358.0,378.0,10.0,10.0,cust,103,cust_94,delivery
-6,-12,254.0,274.0,20.0,10.0,cust,104,cust_95,pickup
-3,2,225.0,245.0,10.0,10.0,cust,105,cust_96,delivery
0,16,91.0,111.0,10.0,10.0,cust,106,cust_97,pickup
-4,10,332.0,352.0,10.0,10.0,cust,107,cust_98,delivery
